"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VAFB118594","RES","CLS","1110 Hearthstone Dr","22401","Fredericksburg City, VA","Detached","3,630","4","3","1","02/26/2021","05/05/21","$450,000.00","$455,000","3","3","Standard","Standard Sale","Conventional","0.14","2007","No","","Very Good","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
"VAFB118560","RES","CLS","713 Lee Ave","22401","Fredericksburg City, VA","Detached","3,144","4","3","1","02/25/2021","04/16/21","$725,000.00","$712,000","7","7","Standard","Standard Sale","VA","0.08","1929","No","2007","","FREDERICKSBURG CITY",""
"VAFB118582","RES","CLS","600 Denton Cir","22401","Fredericksburg City, VA","End of Row/Townhouse","950","2","1","1","03/12/2021","04/06/21","$193,000.00","$193,000","16","16","Standard","Standard Sale","Conventional","0.05","1977","No","","","BRAGG HILL TOWNHOUSES","BRAGG HILL TOWNHOUSES"
"VAFB118580","RES","CLS","226 Hillcrest Dr","22401","Fredericksburg City, VA","Detached","1,726","3","1","1","02/28/2021","04/09/21","$299,900.00","$325,000","5","5","Standard","Standard Sale","Conventional","0.40","1959","No","","Very Good","DILLARD",""
"VAFB118478","RES","CLS","1225 Brent St","22401","Fredericksburg City, VA","Detached","946","3","2","","03/18/2021","03/19/21","$320,000.00","$321,000","3","3","Standard","Standard Sale","Conventional","0.16","1954","No","","","FREDERICKSBURG CITY",""
"VAFB118578","RES","CLS","152 Barnegat Dr","22406","Fredericksburg City, VA","Detached","1,489","2","2","","","09/25/20","$324,847.00","$324,847","0","0","Standard","Standard Sale","Conventional","0.24","2020","Yes","","Excellent","NONE AVAILABLE",""
"VAFB118570","RES","CLS","409 Woodford St","22401","Fredericksburg City, VA","Detached","1,082","2","1","","03/08/2021","04/06/21","$275,000.00","$275,000","9","9","Standard","Standard Sale","FHA","0.21","1947","No","","","NORMANDY VILLAGE",""
"VAFB118554","RES","CLS","1002 Jons Pl","22401","Fredericksburg City, VA","Detached","3,495","5","3","1","03/05/2021","03/15/21","$464,900.00","$480,000","3","3","Standard","Standard Sale","Conventional","0.37","2010","No","","","PRESERVE AT SMITH RUN","PRESERVE AT SMITH RUN"
"VAFB118546","RES","CLS","1422 Preserve Ln","22401","Fredericksburg City, VA","Detached","3,589","4","3","1","02/16/2021","03/08/21","$550,000.00","$550,000","5","5","Standard","Standard Sale","Conventional","0.55","2011","No","","Very Good","PRESERVE AT SMITH RUN","PRESERVE AT SMITH RUN"
"VAFB118552","RES","CLS","1502 Airport Ave","22401","Fredericksburg City, VA","Detached","1,034","3","1","","02/25/2021","12/30/21","$179,900.00","$160,000","15","15","Standard","Standard Sale","Cash","0.16","1955","No","","","AIRPORT",""
"VAFB118550","RES","CLS","217 Harris St","22401","Fredericksburg City, VA","Detached","884","3","1","","02/25/2021","12/30/21","$169,900.00","$150,000","15","15","Standard","Standard Sale","Cash","0.11","1953","No","","","AIRPORT",""
"VAFB118548","RES","CLS","206 Harris St","22401","Fredericksburg City, VA","Detached","941","3","1","","03/01/2021","12/30/21","$169,900.00","$150,000","19","19","Standard","Standard Sale","Cash","0.11","1949","No","","","AIRPORT",""
"VAFB118484","RES","CLS","1100 Hampton St","22401","Fredericksburg City, VA","End of Row/Townhouse","1,870","4","3","1","02/15/2021","03/02/21","$315,000.00","$337,500","4","4","Standard","Standard Sale","Cash","0.06","2005","No","","","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
"VAFB118544","RES","CLS","511 Princess Anne St","22401","Fredericksburg City, VA","Twin/Semi-Detached","2,281","3","2","1","03/26/2021","04/05/21","$575,000.00","$540,000","25","25","Standard","Standard Sale","Cash","0.09","1850","No","","","DOWNTOWN FREDERICKSBURG",""
"VAFB118522","RES","CLS","703 Hanson Ave","22401","Fredericksburg City, VA","Detached","1,008","3","1","","02/26/2021","03/11/21","$265,000.00","$265,000","7","7","Standard","Standard Sale","Conventional","0.17","1956","No","","","NORMANDY VILLAGE",""
"VAFB118508","RES","CLS","108 Huntington Hls","22401","Fredericksburg City, VA","Detached","4,082","6","3","1","02/11/2021","03/12/21","$595,000.00","$595,000","6","6","Standard","Standard Sale","VA","0.51","2000","No","","","HUNTINGTON HILLS","HUNTINGTON HILLS"
"VAFB118516","RES","CLS","1509 Winchester St","22401","Fredericksburg City, VA","Detached","7,548","6","6","1","03/17/2021","04/14/21","$1,200,000.00","$1,150,000","23","23","Standard","Standard Sale","Conventional","0.36","2006","No","","Excellent","CITY OF FREDERICKSBURG",""
"VAFB118510","RES","CLS","460 Hanson Ave","22401","Fredericksburg City, VA","Detached","1,278","3","2","","04/17/2021","05/03/21","$410,000.00","$410,000","9","9","Standard","Standard Sale","Conventional","0.21","1950","No","","","FREDERICKSBURG CITY",""
"VAFB118500","RES","CLS","1514 Idlewild Blvd","22401","Fredericksburg City, VA","Detached","3,686","5","3","1","03/16/2021","03/17/21","$460,000.00","$460,000","1","1","Standard","Standard Sale","FHA","0.18","2008","No","","Excellent","VILLAGE OF IDLEWILD","VILLAGE OF IDLEWILD"
