"MLS #","Cat","Status","Address","Zip Code","County","Structure Type","Total Finished SQFT","Beds","Bathrooms Full","Bathrooms Half","On Market Date","Close Date","List Price","Close Price","DOM","CDOM","Sale Type","Close Sale Type","Buyer Financing","Lot Size Acres","Year Built","New Construction YN","Year Major Reno/Remodel","Property Condition","Subdivision/Neighborhood","Legal Subdivision"
"VACV2003136","RES","CLS","10202 Fredericksburg Tpke","22580","Caroline, VA","Other","912","3","1","","01/05/2023","01/31/23","$190,000.00","$177,000","31","31","Standard","Standard Sale","Cash","2.00","1973","No","","","NONE AVAILABLE",""
"VACV2003126","RES","CLS","20491 Penola Rd","22546","Caroline, VA","Detached","2,912","5","3","","01/13/2023","03/03/23","$499,999.00","$452,600","55","55","Standard","Standard Sale","FHA","7.04","1980","No","2022","","NONE AVAILABLE",""
"VACV2003124","RES","CLS","358 Land Or Dr","22546","Caroline, VA","Detached","1,672","3","2","0","01/10/2023","02/10/23","$315,000.00","$315,000","38","38","Standard","Standard Sale","Conventional","0.46","1991","No","","Excellent","LAKE CAROLINE","LAKE LAND"
"VACV2003102","RES","CLS","209 Estate Dr","22546","Caroline, VA","Detached","3,212","5","3","1","02/03/2023","02/06/23","$429,900.00","$429,900","46","46","Standard","Standard Sale","Conventional","0.00","2005","No","","Good","LAKE LAND OR","LAKE LAND"
"VACV2003120","RES","CLS","14306 Dry Bridge Rd","22546","Caroline, VA","Detached","1,432","3","2","","","11/16/22","$349,500.00","$350,000","0","0","Standard","Standard Sale","FHA","10.25","1964","No","2022","","NONE AVAILABLE",""
"VACV2003114","RES","CLS","17013 Brookwood Dr","22427","Caroline, VA","Detached","1,847","3","2","1","01/09/2023","02/16/23","$363,900.00","$363,900","53","53","Standard","Standard Sale","VA","0.17","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003112","RES","CLS","16994 Brookwood Dr","22427","Caroline, VA","Detached","1,847","3","2","1","01/26/2023","03/17/23","$362,900.00","$362,900","61","61","Standard","Standard Sale","VA","0.18","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003110","RES","CLS","17025 Brookwood Dr","22427","Caroline, VA","Detached","1,535","3","2","0","03/17/2023","04/27/23","$344,900.00","$344,900","98","98","Standard","Standard Sale","FHA","0.17","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003108","RES","CLS","17039 Rollins Rd","22427","Caroline, VA","Detached","1,535","3","2","0","01/30/2023","02/27/23","$339,900.00","$339,900","74","74","Standard","Standard Sale","VA","0.17","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003106","RES","CLS","17006 Brookwood Dr","22427","Caroline, VA","Detached","1,535","3","2","","01/23/2023","03/24/23","$339,900.00","$339,900","67","67","Standard","Standard Sale","Conventional","0.17","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003104","RES","CLS","17081 Rollins Rd","22427","Caroline, VA","Detached","1,296","3","2","","01/03/2023","01/31/23","$334,900.00","$334,900","43","43","Standard","Standard Sale","VA","0.17","2022","Yes","","Excellent","BROOKWOOD",""
"VACV2003096","RES","CLS","15145 Concord Rd","22546","Caroline, VA","Detached","988","2","1","","03/08/2023","05/01/23","$265,900.00","$260,000","81","81","Standard","Standard Sale","FHA","4.00","1952","No","2022","Very Good","NONE AVAILABLE",""
"VACV2003098","RES","CLS","17091 Brookwood Dr","22427","Caroline, VA","Detached","2,193","4","2","1","12/26/2022","02/02/23","$378,000.00","$375,000","40","40","Standard","Standard Sale","FHA","0.24","2020","No","","Excellent","BROOKWOOD",""
"VACV2003100","RES","CLS","17206 Begonia Dr","22546","Caroline, VA","Detached","2,168","4","3","1","01/05/2023","03/06/23","$414,900.00","$414,900","42","42","Standard","Standard Sale","VA","0.12","2004","No","","","LADYSMITH VILLAGE","LADYSMITH VILLAGE"
"VACV2003090","RES","CLS","220 Patrick Henry Dr","22546","Caroline, VA","Detached","1,509","3","3","","04/27/2023","05/30/23","$339,950.00","$339,950","162","162","Standard","Standard Sale","FHA","0.57","1987","No","","Good","LAKE CAROLINE","LAKE CAROLINE"
"VACV2003092","RES","CLS","145 Land Or Dr","22546","Caroline, VA","Detached","2,338","4","3","","01/18/2023","02/16/23","$344,000.00","$341,500","62","62","Standard","Standard Sale","USDA","0.00","2005","No","","Very Good","LAKE LAND OR","LAKE LAND"
"VACV2003084","RES","CLS","10459 Moncure Dr","22546","Caroline, VA","Detached","1,488","3","2","","12/02/2022","12/19/22","$339,000.00","$300,000","5","5","Standard","Standard Sale","FHA","1.34","1942","No","","","NONE AVAILABLE",""
"VACV2003072","RES","CLS","11435 Railroad Ln","22546","Caroline, VA","Detached","900","2","1","1","03/22/2023","04/20/23","$249,900.00","$255,400","94","94","Standard","Standard Sale","Conventional","4.50","1956","No","2022","","NONE AVAILABLE",""
"VACV2003074","RES","CLS","19158 Balty Rd","22546","Caroline, VA","Detached","2,440","4","3","1","12/19/2022","01/09/23","$307,500.00","$302,500","25","61","Standard","Standard Sale","Conventional","2.00","1989","No","","Average","NONE AVAILABLE",""
"VACV2003068","RES","CLS","20256 Smoots Rd","22427","Caroline, VA","Detached","2,340","4","3","","01/21/2023","03/10/23","$465,000.00","$440,000","63","63","Standard","Standard Sale","Conventional","3.25","1993","No","","Excellent","NONE AVAILABLE",""
"VACV2003066","RES","CLS","244 Meadow Ln","22427","Caroline, VA","Detached","2,132","4","2","1","11/12/2022","12/22/22","$365,000.00","$365,000","5","36","Standard","Standard Sale","FHA","0.29","2005","No","2022","Excellent","BOWLING GREEN MEADOWS","BOWLING GREEN MEADOWS"
"VACV2003052","RES","CLS","12206 Longleaf Rd","22546","Caroline, VA","Detached","2,542","4","2","1","11/18/2022","02/02/23","$359,900.00","$368,900","15","15","Standard","Standard Sale","VA","0.51","2022","Yes","","Excellent","CAROLINE PINES","CAROLINE PINES"
